CUSTOMER_ID,FULL_NAME,DOB,CITY,RISK_RATING,AML_SCORE,KYC_LEVEL
C00001,Ngo Xuan Nam,2003-11-16,Da Nang,LOW,26,FULL
C00002,Hoang Huu Trang,1993-09-28,Dong Nai,LOW,86,FULL
C00003,Duong Thanh Anh,1986-06-21,Hue,MEDIUM,79,FULL
C00004,Bui Khanh Dat,1971-04-15,Da Nang,LOW,46,FULL
C00005,Huynh Thu Lan,1966-05-16,Can Tho,LOW,25,FULL
C00006,Nguyen Duc Son,1992-09-30,Ha Noi,LOW,19,FULL
C00007,Nguyen Khanh Khang,1989-08-07,Dong Nai,LOW,27,FULL
C00008,Ngo Hai Lan,2004-08-09,Ha Noi,MEDIUM,44,FULL
C00009,Ho Hai Long,1985-06-25,Hue,LOW,38,PARTIAL
C00010,Hoang Thi Trang,1980-04-12,Quang Ninh,LOW,21,FULL
C00011,Pham Gia Bao,1983-06-20,Can Tho,LOW,28,FULL
C00012,Duong Gia Huy,1993-03-23,Nha Trang,LOW,8,FULL
C00013,Tran Huu Linh,1994-12-03,Nha Trang,LOW,14,FULL
C00014,Tran Quoc Nhung,1968-06-11,Da Nang,LOW,71,FULL
C00015,Vo Van Anh,1977-03-08,Dong Nai,MEDIUM,87,FULL
C00016,Vo Khanh Binh,1964-05-29,Quang Ninh,LOW,87,FULL
C00017,Pham Hai Kiet,1984-09-10,Ha Noi,LOW,54,FULL
C00018,Nguyen Xuan Nam,1971-05-03,Dong Nai,LOW,83,FULL
C00019,Tran Tuan Kiet,1979-04-05,Vung Tau,LOW,12,FULL
C00020,Bui Hoang Khoa,2001-08-19,Nha Trang,LOW,22,FULL
C00021,Do Thi Nhung,2004-05-09,Ha Noi,LOW,82,FULL
C00022,Dang Gia Khang,2004-11-01,Hue,HIGH,13,PARTIAL
C00023,Phan Thu Bao,1963-05-24,Quang Ninh,LOW,30,FULL
C00024,Ngo Tuan Linh,1976-10-16,Hai Phong,LOW,95,PARTIAL
C00025,Ngo Thu Kiet,2001-09-06,Ho Chi Minh,MEDIUM,34,FULL
C00026,Tran Hai Tung,1976-06-29,Ho Chi Minh,LOW,41,FULL
C00027,Vo Hoang An,1972-01-30,Can Tho,LOW,64,FULL
C00028,Bui Hai Kiet,1975-03-19,Quang Ninh,MEDIUM,43,PARTIAL
C00029,Hoang Tuan Trang,1978-12-18,Quang Ninh,HIGH,35,FULL
C00030,Le Minh Linh,1978-03-01,Ho Chi Minh,MEDIUM,86,FULL
C00031,Tran Thu Lan,2004-12-06,Hue,LOW,83,FULL
C00032,Ho Thanh Nam,1964-05-02,Hue,LOW,48,FULL
C00033,Huynh Xuan Nhung,1995-03-28,Quang Ninh,LOW,87,FULL
C00034,Hoang Thi Tung,1973-03-14,Quang Ninh,MEDIUM,61,FULL
C00035,Phan Xuan Phuc,1995-12-19,Ho Chi Minh,LOW,13,FULL
C00036,Do Thu Lan,1985-04-14,Can Tho,LOW,76,FULL
C00037,Hoang Khanh Linh,1973-07-21,Nha Trang,MEDIUM,67,FULL
C00038,Bui Thu Phuc,1974-12-27,Dong Nai,LOW,92,FULL
C00039,Dang Duc Binh,1966-03-19,Can Tho,LOW,50,PARTIAL
C00040,Pham Hoang Bao,1985-05-09,Dong Nai,HIGH,41,PARTIAL
C00041,Vu Thu Kiet,1989-10-26,Hai Phong,LOW,20,PARTIAL
C00042,Vu Thu Son,1977-09-07,Quang Ninh,HIGH,7,FULL
C00043,Phan Thi An,1984-12-05,Vung Tau,HIGH,38,FULL
C00044,Nguyen Thi An,1966-09-20,Hai Phong,MEDIUM,61,FULL
C00045,Vu Minh Phuc,1964-09-03,Vung Tau,LOW,77,PARTIAL
C00046,Vo Tuan An,1967-11-29,Dong Nai,LOW,75,FULL
C00047,Hoang Huu Khoa,1961-07-27,Can Tho,LOW,36,FULL
C00048,Ngo Thu Nam,1977-08-30,Hue,MEDIUM,39,FULL
C00049,Nguyen Thu Kiet,1997-09-14,Quang Ninh,LOW,32,FULL
C00050,Duong Ngoc Khang,1987-02-09,Quang Ninh,LOW,36,PARTIAL
C00051,Hoang Quoc Binh,1994-06-30,Ho Chi Minh,LOW,81,FULL
C00052,Phan Khanh Vy,1987-04-19,Can Tho,LOW,54,FULL
C00053,Huynh Huu Khang,1987-10-28,Vung Tau,HIGH,86,FULL
C00054,Vo Huu Phuc,2004-06-30,Dong Nai,LOW,14,FULL
C00055,Pham Minh An,1997-09-03,Ha Noi,LOW,60,FULL
C00056,Hoang Quoc Kiet,1994-05-19,Ho Chi Minh,MEDIUM,45,FULL
C00057,Do Tuan Linh,1985-03-07,Nha Trang,LOW,15,FULL
C00058,Phan Thanh Trang,1969-12-19,Hai Phong,LOW,13,FULL
C00059,Do Xuan Nhung,1995-01-19,Da Nang,LOW,31,PARTIAL
C00060,Vo Huu Binh,1990-05-24,Quang Ninh,LOW,81,FULL
C00061,Le Thu Trang,1974-02-04,Can Tho,HIGH,36,FULL
C00062,Phan Hai Long,1975-06-29,Dong Nai,MEDIUM,12,FULL
C00063,Ngo Tuan Long,2002-08-04,Ho Chi Minh,LOW,26,PARTIAL
C00064,Ngo Huu Phuc,1990-12-27,Ho Chi Minh,MEDIUM,65,FULL
C00065,Tran Xuan Linh,1983-03-21,Ho Chi Minh,LOW,87,PARTIAL
C00066,Pham Huu Lan,1976-11-13,Hue,LOW,15,FULL
C00067,Do Gia Khoa,2000-04-17,Dong Nai,LOW,25,PARTIAL
C00068,Vo Gia Dat,2003-03-19,Vung Tau,MEDIUM,63,PARTIAL
C00069,Bui Xuan Nam,1970-09-15,Hue,LOW,51,FULL
C00070,Vu Gia Dat,1990-07-06,Ha Noi,HIGH,86,FULL
C00071,Huynh Tuan Anh,1995-01-14,Hai Phong,MEDIUM,48,FULL
C00072,Pham Thanh Bao,1965-05-03,Nha Trang,LOW,36,FULL
C00073,Le Huu Trang,2004-08-18,Ha Noi,MEDIUM,55,FULL
C00074,Duong Duc Linh,1986-10-01,Ho Chi Minh,LOW,53,FULL
C00075,Tran Gia Hoang,1985-02-24,Da Nang,LOW,48,FULL
